IssueDate,Violation,FineAmount,NumberViolations,TotalFineAmount
2024-07-12,MOBILE BUS LANE VIOLATION,100,134,13400
2024-07-12,MOBILE BUS LANE VIOLATION,150,53,7950
2024-07-12,MOBILE BUS LANE VIOLATION,200,28,5600
2024-07-12,MOBILE BUS LANE VIOLATION,250,93,23250
2024-07-13,MOBILE BUS LANE VIOLATION,50,137,6850
2024-07-13,MOBILE BUS LANE VIOLATION,100,35,3500
2024-07-13,MOBILE BUS LANE VIOLATION,150,20,3000
2024-07-13,MOBILE BUS LANE VIOLATION,200,11,2200
2024-07-13,MOBILE BUS LANE VIOLATION,250,28,7000
2024-07-14,MOBILE BUS LANE VIOLATION,50,129,6450
2024-07-14,MOBILE BUS LANE VIOLATION,100,33,3300
2024-07-14,MOBILE BUS LANE VIOLATION,150,10,1500
2024-07-14,MOBILE BUS LANE VIOLATION,200,12,2400
2024-07-14,MOBILE BUS LANE VIOLATION,250,20,5000
2024-07-15,MOBILE BUS LANE VIOLATION,50,290,14500
2024-07-15,MOBILE BUS LANE VIOLATION,100,75,7500
2024-07-15,MOBILE BUS LANE VIOLATION,150,38,5700
2024-07-15,MOBILE BUS LANE VIOLATION,200,20,4000
2024-07-15,MOBILE BUS LANE VIOLATION,250,76,19000
2024-07-16,MOBILE BUS LANE VIOLATION,50,427,21350
2024-07-16,MOBILE BUS LANE VIOLATION,100,115,11500
2024-07-16,MOBILE BUS LANE VIOLATION,150,55,8250
2024-07-16,MOBILE BUS LANE VIOLATION,200,21,4200
2024-07-16,MOBILE BUS LANE VIOLATION,250,69,17250
2024-07-17,MOBILE BUS LANE VIOLATION,50,343,17150
2024-07-17,MOBILE BUS LANE VIOLATION,100,86,8600
2024-07-17,MOBILE BUS LANE VIOLATION,150,29,4350
2024-07-17,MOBILE BUS LANE VIOLATION,200,30,6000
2024-07-17,MOBILE BUS LANE VIOLATION,250,81,20250
2024-07-18,MOBILE BUS LANE VIOLATION,50,445,22250
2024-07-18,MOBILE BUS LANE VIOLATION,100,108,10800
2024-07-18,MOBILE BUS LANE VIOLATION,150,54,8100
2024-07-18,MOBILE BUS LANE VIOLATION,200,26,5200
2024-07-18,MOBILE BUS LANE VIOLATION,250,92,23000
2024-07-19,MOBILE BUS LANE VIOLATION,50,378,18900
2024-07-19,MOBILE BUS LANE VIOLATION,100,110,11000
2024-07-19,MOBILE BUS LANE VIOLATION,150,44,6600
2024-07-19,MOBILE BUS LANE VIOLATION,200,19,3800
2024-07-19,MOBILE BUS LANE VIOLATION,250,78,19500
2024-07-20,MOBILE BUS LANE VIOLATION,50,171,8550
2024-07-20,MOBILE BUS LANE VIOLATION,100,46,4600
2024-07-20,MOBILE BUS LANE VIOLATION,150,22,3300
2024-07-20,MOBILE BUS LANE VIOLATION,200,7,1400
2024-07-20,MOBILE BUS LANE VIOLATION,250,28,7000
2024-07-21,MOBILE BUS LANE VIOLATION,50,119,5950
2024-07-21,MOBILE BUS LANE VIOLATION,100,35,3500
2024-07-21,MOBILE BUS LANE VIOLATION,150,22,3300
2024-07-21,MOBILE BUS LANE VIOLATION,200,4,800
2024-07-21,MOBILE BUS LANE VIOLATION,250,24,6000
2024-07-22,MOBILE BUS LANE VIOLATION,50,431,21550
2024-07-22,MOBILE BUS LANE VIOLATION,100,119,11900
2024-07-22,MOBILE BUS LANE VIOLATION,150,46,6900
2024-07-22,MOBILE BUS LANE VIOLATION,200,22,4400
2024-07-22,MOBILE BUS LANE VIOLATION,250,89,22250
2024-07-23,MOBILE BUS LANE VIOLATION,50,420,21000
2024-07-23,MOBILE BUS LANE VIOLATION,100,125,12500
2024-07-23,MOBILE BUS LANE VIOLATION,150,45,6750
2024-07-23,MOBILE BUS LANE VIOLATION,200,30,6000
2024-07-23,MOBILE BUS LANE VIOLATION,250,106,26500
2024-07-24,MOBILE BUS LANE VIOLATION,50,412,20600
2024-07-24,MOBILE BUS LANE VIOLATION,100,125,12500
2024-07-24,MOBILE BUS LANE VIOLATION,150,53,7950
2024-07-24,MOBILE BUS LANE VIOLATION,200,31,6200
2024-07-24,MOBILE BUS LANE VIOLATION,250,88,22000
2024-07-25,MOBILE BUS LANE VIOLATION,50,395,19750
2024-07-25,MOBILE BUS LANE VIOLATION,100,115,11500
2024-07-25,MOBILE BUS LANE VIOLATION,150,46,6900
2024-07-25,MOBILE BUS LANE VIOLATION,200,25,5000
2024-07-25,MOBILE BUS LANE VIOLATION,250,91,22750
2024-07-26,MOBILE BUS LANE VIOLATION,50,412,20600
2024-07-26,MOBILE BUS LANE VIOLATION,100,113,11300
2024-07-26,MOBILE BUS LANE VIOLATION,150,47,7050
2024-07-26,MOBILE BUS LANE VIOLATION,200,20,4000
2024-07-26,MOBILE BUS LANE VIOLATION,250,86,21500
2024-07-27,MOBILE BUS LANE VIOLATION,50,211,10550
2024-07-27,MOBILE BUS LANE VIOLATION,100,55,5500
2024-07-27,MOBILE BUS LANE VIOLATION,150,22,3300
2024-07-27,MOBILE BUS LANE VIOLATION,200,11,2200
2024-07-27,MOBILE BUS LANE VIOLATION,250,27,6750
2024-07-28,MOBILE BUS LANE VIOLATION,50,164,8200
2024-07-28,MOBILE BUS LANE VIOLATION,100,48,4800
2024-07-28,MOBILE BUS LANE VIOLATION,150,29,4350
2024-07-28,MOBILE BUS LANE VIOLATION,200,13,2600
2024-07-28,MOBILE BUS LANE VIOLATION,250,25,6250
2024-07-29,MOBILE BUS LANE VIOLATION,50,353,17650
2024-07-29,MOBILE BUS LANE VIOLATION,100,71,7100
2024-07-29,MOBILE BUS LANE VIOLATION,150,51,7650
2024-07-29,MOBILE BUS LANE VIOLATION,200,30,6000
2024-07-29,MOBILE BUS LANE VIOLATION,250,78,19500
2024-07-30,MOBILE BUS LANE VIOLATION,50,411,20550
2024-07-30,MOBILE BUS LANE VIOLATION,100,121,12100
2024-07-30,MOBILE BUS LANE VIOLATION,150,52,7800
2024-07-30,MOBILE BUS LANE VIOLATION,200,22,4400
2024-07-30,MOBILE BUS LANE VIOLATION,250,83,20750
2024-07-31,MOBILE BUS LANE VIOLATION,50,351,17550
2024-07-31,MOBILE BUS LANE VIOLATION,100,95,9500
2024-07-31,MOBILE BUS LANE VIOLATION,150,54,8100
2024-07-31,MOBILE BUS LANE VIOLATION,200,20,4000
2024-07-31,MOBILE BUS LANE VIOLATION,250,61,15250
2024-08-01,MOBILE BUS LANE VIOLATION,50,350,17500
2024-08-01,MOBILE BUS LANE VIOLATION,100,100,10000
2024-08-01,MOBILE BUS LANE VIOLATION,150,52,7800
2024-08-01,MOBILE BUS LANE VIOLATION,200,18,3600
2024-08-01,MOBILE BUS LANE VIOLATION,250,77,19250
2024-08-02,MOBILE BUS LANE VIOLATION,50,464,23200
2024-08-02,MOBILE BUS LANE VIOLATION,100,100,10000
2024-08-02,MOBILE BUS LANE VIOLATION,150,52,7800
2024-08-02,MOBILE BUS LANE VIOLATION,200,27,5400
2024-08-02,MOBILE BUS LANE VIOLATION,250,88,22000
2024-08-03,MOBILE BUS LANE VIOLATION,50,132,6600
2024-08-03,MOBILE BUS LANE VIOLATION,100,34,3400
2024-08-03,MOBILE BUS LANE VIOLATION,150,16,2400
2024-08-03,MOBILE BUS LANE VIOLATION,200,11,2200
2024-08-03,MOBILE BUS LANE VIOLATION,250,12,3000
2024-08-04,MOBILE BUS LANE VIOLATION,50,153,7650
2024-08-04,MOBILE BUS LANE VIOLATION,100,55,5500
2024-08-04,MOBILE BUS LANE VIOLATION,150,24,3600
2024-08-04,MOBILE BUS LANE VIOLATION,200,17,3400
2024-08-04,MOBILE BUS LANE VIOLATION,250,32,8000
2024-08-05,MOBILE BUS LANE VIOLATION,50,381,19050
2024-08-05,MOBILE BUS LANE VIOLATION,100,103,10300
2024-08-05,MOBILE BUS LANE VIOLATION,150,34,5100
2024-08-05,MOBILE BUS LANE VIOLATION,200,23,4600
2024-08-05,MOBILE BUS LANE VIOLATION,250,77,19250
2024-08-06,MOBILE BUS LANE VIOLATION,50,371,18550
2024-08-06,MOBILE BUS LANE VIOLATION,100,107,10700
2024-08-06,MOBILE BUS LANE VIOLATION,150,42,6300
2024-08-06,MOBILE BUS LANE VIOLATION,200,21,4200
2024-08-06,MOBILE BUS LANE VIOLATION,250,67,16750
2024-08-07,MOBILE BUS LANE VIOLATION,50,734,36700
2024-08-08,MOBILE BUS LANE VIOLATION,50,660,33000
2024-08-09,MOBILE BUS LANE VIOLATION,50,691,34550
2024-08-10,MOBILE BUS LANE VIOLATION,50,271,13550
2024-08-11,MOBILE BUS LANE VIOLATION,50,254,12700
2024-08-12,MOBILE BUS LANE VIOLATION,50,594,29700
2024-08-13,MOBILE BUS LANE VIOLATION,50,571,28550
2024-08-14,MOBILE BUS LANE VIOLATION,50,624,31200
2024-08-15,MOBILE BUS LANE VIOLATION,50,649,32450
2024-08-16,MOBILE BUS LANE VIOLATION,50,719,35950
2024-08-17,MOBILE BUS LANE VIOLATION,50,212,10600
2024-08-18,MOBILE BUS LANE VIOLATION,50,261,13050
2024-08-19,MOBILE BUS LANE VIOLATION,50,519,25950
2024-08-20,MOBILE BUS LANE VIOLATION,50,601,30050
2024-08-21,MOBILE BUS LANE VIOLATION,50,614,30700
2024-08-22,MOBILE BUS LANE VIOLATION,50,572,28600
2024-08-23,MOBILE BUS LANE VIOLATION,50,624,31200
2024-08-24,MOBILE BUS LANE VIOLATION,50,251,12550
2024-08-25,MOBILE BUS LANE VIOLATION,50,259,12950
2024-08-26,MOBILE BUS LANE VIOLATION,50,581,29050
2024-08-27,MOBILE BUS LANE VIOLATION,50,601,30050
2024-08-28,MOBILE BUS LANE VIOLATION,50,522,26100
2024-08-29,MOBILE BUS LANE VIOLATION,50,578,28900
2024-08-30,MOBILE BUS LANE VIOLATION,50,700,35000
2024-08-31,MOBILE BUS LANE VIOLATION,50,265,13250
2024-09-01,MOBILE BUS LANE VIOLATION,50,329,16450
2024-09-03,MOBILE BUS LANE VIOLATION,50,694,34700
2024-09-04,MOBILE BUS LANE VIOLATION,50,632,31600
2024-09-05,MOBILE BUS LANE VIOLATION,50,637,31850
2024-09-06,MOBILE BUS LANE VIOLATION,50,767,38350
2024-09-07,MOBILE BUS LANE VIOLATION,50,317,15850
2024-09-08,MOBILE BUS LANE VIOLATION,50,236,11800
2024-09-09,MOBILE BUS LANE VIOLATION,50,610,30500
2024-09-10,MOBILE BUS LANE VIOLATION,50,552,27600
2024-09-11,MOBILE BUS LANE VIOLATION,50,591,29550
2024-09-12,MOBILE BUS LANE VIOLATION,50,573,28650
2024-09-13,MOBILE BUS LANE VIOLATION,50,719,35950
2024-09-14,MOBILE BUS LANE VIOLATION,50,245,12250
2024-09-15,MOBILE BUS LANE VIOLATION,50,254,12700
2024-09-16,MOBILE BUS LANE VIOLATION,50,694,34700
2024-09-17,MOBILE BUS LANE VIOLATION,50,811,40550
2024-09-18,MOBILE BUS LANE VIOLATION,50,558,27900
2024-09-19,MOBILE BUS LANE VIOLATION,50,485,24250
2024-09-20,MOBILE BUS LANE VIOLATION,50,648,32400
2024-09-21,MOBILE BUS LANE VIOLATION,50,215,10750
2024-09-22,MOBILE BUS LANE VIOLATION,50,174,8700
2024-09-23,MOBILE BUS LANE VIOLATION,50,668,33400
2024-09-24,MOBILE BUS LANE VIOLATION,50,574,28700
2024-09-25,MOBILE BUS LANE VIOLATION,50,650,32500
2024-09-26,MOBILE BUS LANE VIOLATION,50,711,35550
2024-09-27,MOBILE BUS LANE VIOLATION,50,838,41900
2024-09-28,MOBILE BUS LANE VIOLATION,50,312,15600
2024-09-29,MOBILE BUS LANE VIOLATION,50,344,17200
2024-09-30,MOBILE BUS LANE VIOLATION,50,768,38400
2024-10-01,MOBILE BUS LANE VIOLATION,50,815,40750
2024-10-02,MOBILE BUS LANE VIOLATION,50,884,44200
2024-10-03,MOBILE BUS LANE VIOLATION,50,952,47600
2024-10-04,MOBILE BUS LANE VIOLATION,50,967,48350
2024-10-05,MOBILE BUS LANE VIOLATION,50,219,10950
2024-10-06,MOBILE BUS LANE VIOLATION,50,257,12850
2024-10-07,MOBILE BUS LANE VIOLATION,50,774,38700
2024-10-08,MOBILE BUS LANE VIOLATION,50,725,36250
2024-10-08,MOBILE BUS LANE VIOLATION,100,1,100
2024-10-09,MOBILE BUS LANE VIOLATION,50,793,39650
2024-10-09,MOBILE BUS LANE VIOLATION,100,1,100
2024-10-10,MOBILE BUS LANE VIOLATION,50,642,32100
2024-10-11,MOBILE BUS LANE VIOLATION,50,781,39050
2024-10-12,MOBILE BUS LANE VIOLATION,50,192,9600
2024-10-13,MOBILE BUS LANE VIOLATION,50,259,12950
2024-10-14,MOBILE BUS LANE VIOLATION,50,1042,52100
2024-10-14,MOBILE BUS LANE VIOLATION,100,12,1200
2024-10-14,MOBILE BUS LANE VIOLATION,150,1,150
2024-10-14,MOBILE BUS LANE VIOLATION,200,3,600
2024-10-15,MOBILE BUS LANE VIOLATION,50,763,38150
2024-10-15,MOBILE BUS LANE VIOLATION,100,9,900
2024-10-15,MOBILE BUS LANE VIOLATION,150,5,750
2024-10-15,MOBILE BUS LANE VIOLATION,200,1,200
2024-10-16,MOBILE BUS LANE VIOLATION,50,748,37400
2024-10-16,MOBILE BUS LANE VIOLATION,100,13,1300
2024-10-16,MOBILE BUS LANE VIOLATION,150,4,600
2024-10-16,MOBILE BUS LANE VIOLATION,200,4,800
2024-10-17,MOBILE BUS LANE VIOLATION,50,658,32900
2024-10-17,MOBILE BUS LANE VIOLATION,100,14,1400
2024-10-17,MOBILE BUS LANE VIOLATION,150,9,1350
2024-10-17,MOBILE BUS LANE VIOLATION,200,10,2000
2024-10-17,MOBILE BUS LANE VIOLATION,250,2,500
2024-10-18,MOBILE BUS LANE VIOLATION,50,667,33350
2024-10-18,MOBILE BUS LANE VIOLATION,100,6,600
2024-10-18,MOBILE BUS LANE VIOLATION,150,12,1800
2024-10-18,MOBILE BUS LANE VIOLATION,200,5,1000
2024-10-18,MOBILE BUS LANE VIOLATION,250,4,1000
2024-10-19,MOBILE BUS LANE VIOLATION,50,230,11500
2024-10-19,MOBILE BUS LANE VIOLATION,100,5,500
2024-10-20,MOBILE BUS LANE VIOLATION,50,267,13350
2024-10-21,MOBILE BUS LANE VIOLATION,50,617,30850
2024-10-21,MOBILE BUS LANE VIOLATION,100,8,800
2024-10-21,MOBILE BUS LANE VIOLATION,150,10,1500
2024-10-21,MOBILE BUS LANE VIOLATION,200,3,600
2024-10-21,MOBILE BUS LANE VIOLATION,250,11,2750
2024-10-22,MOBILE BUS LANE VIOLATION,50,669,33450
2024-10-22,MOBILE BUS LANE VIOLATION,100,9,900
2024-10-22,MOBILE BUS LANE VIOLATION,150,6,900
2024-10-22,MOBILE BUS LANE VIOLATION,200,6,1200
2024-10-22,MOBILE BUS LANE VIOLATION,250,11,2750
2024-10-23,MOBILE BUS LANE VIOLATION,50,651,32550
2024-10-23,MOBILE BUS LANE VIOLATION,100,11,1100
2024-10-23,MOBILE BUS LANE VIOLATION,150,6,900
2024-10-23,MOBILE BUS LANE VIOLATION,200,2,400
2024-10-23,MOBILE BUS LANE VIOLATION,250,11,2750
2024-10-24,MOBILE BUS LANE VIOLATION,50,726,36300
2024-10-24,MOBILE BUS LANE VIOLATION,100,6,600
2024-10-24,MOBILE BUS LANE VIOLATION,150,7,1050
2024-10-24,MOBILE BUS LANE VIOLATION,200,5,1000
2024-10-24,MOBILE BUS LANE VIOLATION,250,11,2750
2024-10-25,MOBILE BUS LANE VIOLATION,50,825,41250
2024-10-25,MOBILE BUS LANE VIOLATION,100,15,1500
2024-10-25,MOBILE BUS LANE VIOLATION,150,3,450
2024-10-25,MOBILE BUS LANE VIOLATION,200,6,1200
2024-10-25,MOBILE BUS LANE VIOLATION,250,17,4250
2024-10-26,MOBILE BUS LANE VIOLATION,50,254,12700
2024-10-26,MOBILE BUS LANE VIOLATION,100,5,500
2024-10-26,MOBILE BUS LANE VIOLATION,200,1,200
2024-10-27,MOBILE BUS LANE VIOLATION,50,300,15000
2024-10-27,MOBILE BUS LANE VIOLATION,100,3,300
2024-10-28,MOBILE BUS LANE VIOLATION,50,671,33550
2024-10-28,MOBILE BUS LANE VIOLATION,100,16,1600
2024-10-28,MOBILE BUS LANE VIOLATION,150,4,600
2024-10-28,MOBILE BUS LANE VIOLATION,200,4,800
2024-10-28,MOBILE BUS LANE VIOLATION,250,11,2750
2024-10-29,MOBILE BUS LANE VIOLATION,50,769,38450
2024-10-29,MOBILE BUS LANE VIOLATION,100,12,1200
2024-10-29,MOBILE BUS LANE VIOLATION,150,5,750
2024-10-29,MOBILE BUS LANE VIOLATION,200,3,600
2024-10-29,MOBILE BUS LANE VIOLATION,250,18,4500
2024-10-30,MOBILE BUS LANE VIOLATION,50,747,37350
2024-10-30,MOBILE BUS LANE VIOLATION,100,15,1500
2024-10-30,MOBILE BUS LANE VIOLATION,150,8,1200
2024-10-30,MOBILE BUS LANE VIOLATION,200,5,1000
2024-10-30,MOBILE BUS LANE VIOLATION,250,22,5500
2024-10-31,MOBILE BUS LANE VIOLATION,50,680,34000
2024-10-31,MOBILE BUS LANE VIOLATION,100,14,1400
2024-10-31,MOBILE BUS LANE VIOLATION,150,10,1500
2024-10-31,MOBILE BUS LANE VIOLATION,200,4,800
2024-10-31,MOBILE BUS LANE VIOLATION,250,23,5750
2024-11-01,MOBILE BUS LANE VIOLATION,50,671,33550
2024-11-01,MOBILE BUS LANE VIOLATION,100,12,1200
2024-11-01,MOBILE BUS LANE VIOLATION,150,6,900
2024-11-01,MOBILE BUS LANE VIOLATION,200,2,400
2024-11-01,MOBILE BUS LANE VIOLATION,250,18,4500
2024-11-02,MOBILE BUS LANE VIOLATION,50,291,14550
2024-11-02,MOBILE BUS LANE VIOLATION,100,5,500
2024-11-02,MOBILE BUS LANE VIOLATION,150,1,150
2024-11-02,MOBILE BUS LANE VIOLATION,200,1,200
2024-11-03,MOBILE BUS LANE VIOLATION,50,348,17400
2024-11-03,MOBILE BUS LANE VIOLATION,100,7,700
2024-11-03,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-04,MOBILE BUS LANE VIOLATION,50,724,36200
2024-11-04,MOBILE BUS LANE VIOLATION,100,19,1900
2024-11-04,MOBILE BUS LANE VIOLATION,150,9,1350
2024-11-04,MOBILE BUS LANE VIOLATION,200,6,1200
2024-11-04,MOBILE BUS LANE VIOLATION,250,20,5000
2024-11-05,MOBILE BUS LANE VIOLATION,50,705,35250
2024-11-05,MOBILE BUS LANE VIOLATION,100,15,1500
2024-11-05,MOBILE BUS LANE VIOLATION,150,7,1050
2024-11-05,MOBILE BUS LANE VIOLATION,200,4,800
2024-11-05,MOBILE BUS LANE VIOLATION,250,24,6000
2024-11-06,MOBILE BUS LANE VIOLATION,50,591,29550
2024-11-06,MOBILE BUS LANE VIOLATION,100,17,1700
2024-11-06,MOBILE BUS LANE VIOLATION,150,6,900
2024-11-06,MOBILE BUS LANE VIOLATION,200,6,1200
2024-11-06,MOBILE BUS LANE VIOLATION,250,26,6500
2024-11-07,MOBILE BUS LANE VIOLATION,50,629,31450
2024-11-07,MOBILE BUS LANE VIOLATION,100,18,1800
2024-11-07,MOBILE BUS LANE VIOLATION,150,8,1200
2024-11-07,MOBILE BUS LANE VIOLATION,200,3,600
2024-11-07,MOBILE BUS LANE VIOLATION,250,33,8250
2024-11-08,MOBILE BUS LANE VIOLATION,50,667,33350
2024-11-08,MOBILE BUS LANE VIOLATION,100,25,2500
2024-11-08,MOBILE BUS LANE VIOLATION,150,7,1050
2024-11-08,MOBILE BUS LANE VIOLATION,200,5,1000
2024-11-08,MOBILE BUS LANE VIOLATION,250,23,5750
2024-11-09,MOBILE BUS LANE VIOLATION,50,185,9250
2024-11-09,MOBILE BUS LANE VIOLATION,100,2,200
2024-11-09,MOBILE BUS LANE VIOLATION,150,1,150
2024-11-09,MOBILE BUS LANE VIOLATION,250,3,750
2024-11-10,MOBILE BUS LANE VIOLATION,50,285,14250
2024-11-10,MOBILE BUS LANE VIOLATION,100,2,200
2024-11-10,MOBILE BUS LANE VIOLATION,150,1,150
2024-11-10,MOBILE BUS LANE VIOLATION,200,1,200
2024-11-10,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-11,MOBILE BUS LANE VIOLATION,50,720,36000
2024-11-11,MOBILE BUS LANE VIOLATION,100,20,2000
2024-11-11,MOBILE BUS LANE VIOLATION,150,9,1350
2024-11-11,MOBILE BUS LANE VIOLATION,200,3,600
2024-11-11,MOBILE BUS LANE VIOLATION,250,24,6000
2024-11-12,MOBILE BUS LANE VIOLATION,50,589,29450
2024-11-12,MOBILE BUS LANE VIOLATION,100,14,1400
2024-11-12,MOBILE BUS LANE VIOLATION,150,12,1800
2024-11-12,MOBILE BUS LANE VIOLATION,200,7,1400
2024-11-12,MOBILE BUS LANE VIOLATION,250,26,6500
2024-11-13,MOBILE BUS LANE VIOLATION,50,530,26500
2024-11-13,MOBILE BUS LANE VIOLATION,100,17,1700
2024-11-13,MOBILE BUS LANE VIOLATION,150,9,1350
2024-11-13,MOBILE BUS LANE VIOLATION,200,6,1200
2024-11-13,MOBILE BUS LANE VIOLATION,250,21,5250
2024-11-14,MOBILE BUS LANE VIOLATION,50,506,25300
2024-11-14,MOBILE BUS LANE VIOLATION,100,21,2100
2024-11-14,MOBILE BUS LANE VIOLATION,150,13,1950
2024-11-14,MOBILE BUS LANE VIOLATION,200,12,2400
2024-11-14,MOBILE BUS LANE VIOLATION,250,15,3750
2024-11-15,MOBILE BUS LANE VIOLATION,50,675,33750
2024-11-15,MOBILE BUS LANE VIOLATION,100,23,2300
2024-11-15,MOBILE BUS LANE VIOLATION,150,14,2100
2024-11-15,MOBILE BUS LANE VIOLATION,200,5,1000
2024-11-15,MOBILE BUS LANE VIOLATION,250,24,6000
2024-11-16,MOBILE BUS LANE VIOLATION,50,322,16100
2024-11-16,MOBILE BUS LANE VIOLATION,100,8,800
2024-11-16,MOBILE BUS LANE VIOLATION,150,2,300
2024-11-16,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-17,MOBILE BUS LANE VIOLATION,50,365,18250
2024-11-17,MOBILE BUS LANE VIOLATION,100,7,700
2024-11-17,MOBILE BUS LANE VIOLATION,150,5,750
2024-11-17,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-18,MOBILE BUS LANE VIOLATION,50,614,30700
2024-11-18,MOBILE BUS LANE VIOLATION,100,32,3200
2024-11-18,MOBILE BUS LANE VIOLATION,150,11,1650
2024-11-18,MOBILE BUS LANE VIOLATION,200,12,2400
2024-11-18,MOBILE BUS LANE VIOLATION,250,26,6500
2024-11-19,MOBILE BUS LANE VIOLATION,50,610,30500
2024-11-19,MOBILE BUS LANE VIOLATION,100,23,2300
2024-11-19,MOBILE BUS LANE VIOLATION,150,12,1800
2024-11-19,MOBILE BUS LANE VIOLATION,200,8,1600
2024-11-19,MOBILE BUS LANE VIOLATION,250,29,7250
2024-11-20,MOBILE BUS LANE VIOLATION,50,724,36200
2024-11-20,MOBILE BUS LANE VIOLATION,100,32,3200
2024-11-20,MOBILE BUS LANE VIOLATION,150,7,1050
2024-11-20,MOBILE BUS LANE VIOLATION,200,4,800
2024-11-20,MOBILE BUS LANE VIOLATION,250,24,6000
2024-11-21,MOBILE BUS LANE VIOLATION,50,713,35650
2024-11-21,MOBILE BUS LANE VIOLATION,100,33,3300
2024-11-21,MOBILE BUS LANE VIOLATION,150,9,1350
2024-11-21,MOBILE BUS LANE VIOLATION,200,10,2000
2024-11-21,MOBILE BUS LANE VIOLATION,250,29,7250
2024-11-22,MOBILE BUS LANE VIOLATION,50,762,38100
2024-11-22,MOBILE BUS LANE VIOLATION,100,30,3000
2024-11-22,MOBILE BUS LANE VIOLATION,150,10,1500
2024-11-22,MOBILE BUS LANE VIOLATION,200,5,1000
2024-11-22,MOBILE BUS LANE VIOLATION,250,14,3500
2024-11-23,MOBILE BUS LANE VIOLATION,50,309,15450
2024-11-23,MOBILE BUS LANE VIOLATION,100,3,300
2024-11-23,MOBILE BUS LANE VIOLATION,150,2,300
2024-11-23,MOBILE BUS LANE VIOLATION,200,1,200
2024-11-23,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-24,MOBILE BUS LANE VIOLATION,50,304,15200
2024-11-24,MOBILE BUS LANE VIOLATION,100,6,600
2024-11-24,MOBILE BUS LANE VIOLATION,250,1,250
2024-11-25,MOBILE BUS LANE VIOLATION,50,702,35100
2024-11-25,MOBILE BUS LANE VIOLATION,100,32,3200
2024-11-25,MOBILE BUS LANE VIOLATION,150,7,1050
2024-11-25,MOBILE BUS LANE VIOLATION,200,9,1800
2024-11-25,MOBILE BUS LANE VIOLATION,250,25,6250
2024-11-26,MOBILE BUS LANE VIOLATION,50,691,34550
2024-11-26,MOBILE BUS LANE VIOLATION,100,31,3100
2024-11-26,MOBILE BUS LANE VIOLATION,150,8,1200
2024-11-26,MOBILE BUS LANE VIOLATION,200,2,400
2024-11-26,MOBILE BUS LANE VIOLATION,250,26,6500
2024-11-27,MOBILE BUS LANE VIOLATION,50,806,40300
2024-11-27,MOBILE BUS LANE VIOLATION,100,34,3400
2024-11-27,MOBILE BUS LANE VIOLATION,150,11,1650
2024-11-27,MOBILE BUS LANE VIOLATION,200,9,1800
2024-11-27,MOBILE BUS LANE VIOLATION,250,31,7750
2024-11-29,MOBILE BUS LANE VIOLATION,50,1085,54250
2024-11-29,MOBILE BUS LANE VIOLATION,100,36,3600
2024-11-29,MOBILE BUS LANE VIOLATION,150,10,1500
2024-11-29,MOBILE BUS LANE VIOLATION,200,4,800
2024-11-29,MOBILE BUS LANE VIOLATION,250,20,5000
2024-11-30,MOBILE BUS LANE VIOLATION,50,463,23150
2024-11-30,MOBILE BUS LANE VIOLATION,100,14,1400
2024-11-30,MOBILE BUS LANE VIOLATION,150,3,450
2024-11-30,MOBILE BUS LANE VIOLATION,250,7,1750
2024-12-01,MOBILE BUS LANE VIOLATION,50,417,20850
2024-12-01,MOBILE BUS LANE VIOLATION,100,13,1300
2024-12-01,MOBILE BUS LANE VIOLATION,150,3,450
2024-12-01,MOBILE BUS LANE VIOLATION,250,3,750
2024-12-02,MOBILE BUS LANE VIOLATION,50,733,36650
2024-12-02,MOBILE BUS LANE VIOLATION,100,38,3800
2024-12-02,MOBILE BUS LANE VIOLATION,150,16,2400
2024-12-02,MOBILE BUS LANE VIOLATION,200,8,1600
2024-12-02,MOBILE BUS LANE VIOLATION,250,35,8750
2024-12-03,MOBILE BUS LANE VIOLATION,50,756,37800
2024-12-03,MOBILE BUS LANE VIOLATION,100,38,3800
2024-12-03,MOBILE BUS LANE VIOLATION,150,8,1200
2024-12-03,MOBILE BUS LANE VIOLATION,200,2,400
2024-12-03,MOBILE BUS LANE VIOLATION,250,26,6500
2024-12-04,MOBILE BUS LANE VIOLATION,50,695,34750
2024-12-04,MOBILE BUS LANE VIOLATION,100,43,4300
2024-12-04,MOBILE BUS LANE VIOLATION,150,13,1950
2024-12-04,MOBILE BUS LANE VIOLATION,200,7,1400
2024-12-04,MOBILE BUS LANE VIOLATION,250,34,8500
2024-12-05,MOBILE BUS LANE VIOLATION,50,786,39300
2024-12-05,MOBILE BUS LANE VIOLATION,100,44,4400
2024-12-05,MOBILE BUS LANE VIOLATION,150,10,1500
2024-12-05,MOBILE BUS LANE VIOLATION,200,11,2200
2024-12-05,MOBILE BUS LANE VIOLATION,250,31,7750
2024-12-06,MOBILE BUS LANE VIOLATION,50,748,37400
2024-12-06,MOBILE BUS LANE VIOLATION,100,32,3200
2024-12-06,MOBILE BUS LANE VIOLATION,150,21,3150
2024-12-06,MOBILE BUS LANE VIOLATION,200,9,1800
2024-12-06,MOBILE BUS LANE VIOLATION,250,17,4250
